Gene,ABE-MEM 1h,ABE-MEM 3h A,ABE-MEM 3h B,ABE-NES 1h,ABE-NES 3h A,ABE-NES 3h B,ABE-NLS 1h,ABE-NLS 3h A,ABE-NLS 3h B,ABE-ACT 1h A,ABE-ACT 1h B,ABE-ACT 3h A,ABE-ACT 3h B,ABE-NM 1h A,ABE-NM 1h B,ABE-NM 3h A,ABE-NM 3h B,ABE-LD 1h A,ABE-LD 1h B,ABE-LD 3h A,ABE-LD 3h B,ABE-GOL 1h A,ABE-GOL 1h B,ABE-GOL 3h A,ABE-GOL 3h B,ABE-ERM 1h A,ABE-ERM 1h B,ABE-ERM 3h A,ABE-ERM 3h B,ABE-LAMP1 1h A,ABE-LAMP1 1h B,ABE-LAMP1 3h A,ABE-LAMP1 3h B,ABE-LC3 1h A,ABE-LC3 1h B,ABE-LC3 3h A,ABE-LC3 3h B,ABE-NOLS 1h A,ABE-NOLS 1h B,ABE-NOLS 3h A,ABE-NOLS 3h B,ABE-NUP 1h A,ABE-NUP 1h B,ABE-NUP 3h A,ABE-NUP 3h B,ABE-OMM 1h A,ABE-OMM 1h B,ABE-OMM 3h A,ABE-OMM 3h B,ABE-PLIN2 1h A,ABE-PLIN2 1h B,ABE-PLIN2 3h A,ABE-PLIN2 3h B,ABE-PTS1 1h A,ABE-PTS1 1h B,ABE-PTS1 3h A,ABE-PTS1 3h B,ABE-RAB10 1h A,ABE-RAB10 1h B,ABE-RAB10 3h A,ABE-RAB10 3h B,ABE-RABIF 1h A,ABE-RABIF 1h B,ABE-RABIF 3h A,ABE-RABIF 3h B,ABE-SQSTM1 1h A,ABE-SQSTM1 1h B,ABE-SQSTM1 3h A,ABE-SQSTM1 3h B,ABE-HSPA8-CH 1h A,ABE-HSPA8-CH 1h B,ABE-HSPA8-CH 3h A,ABE-HSPA8-CH 3h B,ABE-HSPA8-NC 1h A,ABE-HSPA8-NC 1h B,ABE-HSPA8-NC 3h A,ABE-HSPA8-NC 3h B,ABE-LAMP2A 1h A,ABE-LAMP2A 1h B,ABE-LAMP2A 3h A,ABE-LAMP2A 3h B,ABE-LMNA 1h A,ABE-LMNA 1h B,ABE-LMNA 3h A,ABE-LMNA 3h B,ABE-TDP208 1h A,ABE-TDP208 1h B,ABE-TDP208 3h A,ABE-TDP208 3h B
DCD,0.0,13.0,0.0,168.0,162.0,88.0,1.0,13.0,54.0,22.0,7.0,13.0,19.0,0.0,1.0,0.0,6.0,35.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,13.0,32.0,59.0,63.0,4.0,11.0,0.0,0.0,19.0,17.0,67.0,136.0,0.0,0.0,0.0,1.0,10.0,12.0,0.0,0.0,25.0,192.0,28.0,124.0,0.0,1.0,1.0,0.0,26.0,34.0,0.0,25.0,56.0,42.0,49.0,67.0,17.0,25.0,57.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,9.0,1.0,1.0,1.0,14.0,1.0,0.0,9.0,0.0,125.0
RNF5,21.0,49.0,55.0,763.0,2256.0,2193.0,61.0,406.0,130.0,330.0,159.0,263.0,486.0,24.0,37.0,70.0,13.0,74.0,63.0,155.0,77.0,11.0,6.0,17.0,20.0,168.0,318.0,238.0,220.0,4.0,30.0,77.0,187.0,723.0,888.0,540.0,622.0,59.0,65.0,15.0,90.0,15.0,20.0,37.0,66.0,277.0,1426.0,323.0,648.0,8.0,88.0,7.0,177.0,251.0,794.0,205.0,373.0,661.0,587.0,546.0,2508.0,362.0,658.0,187.0,414.0,57.0,163.0,21.0,131.0,16.0,22.0,10.0,2.0,1.0,4.0,0.0,5.0,15.0,40.0,93.0,101.0,20.0,4.0,18.0,131.0,60.0,115.0,74.0,583.0
POFUT1,0.0,0.0,0.0,147.0,152.0,177.0,0.0,7.0,1.0,24.0,25.0,16.0,32.0,0.0,1.0,0.0,6.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,13.0,0.0,0.0,2.0,2.0,13.0,20.0,111.0,79.0,7.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,29.0,15.0,12.0,0.0,0.0,0.0,0.0,11.0,55.0,13.0,37.0,59.0,127.0,0.0,31.0,9.0,18.0,0.0,4.0,0.0,13.0,6.0,15.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,3.0,1.0,6.0,9.0,25.0,121.0
WDR6,0.0,7.0,2.0,421.0,806.0,935.0,2.0,47.0,113.0,44.0,11.0,193.0,38.0,3.0,12.0,0.0,13.0,9.0,8.0,7.0,2.0,7.0,1.0,1.0,2.0,52.0,232.0,62.0,155.0,0.0,4.0,1.0,2.0,285.0,278.0,543.0,437.0,12.0,0.0,10.0,24.0,1.0,11.0,5.0,7.0,110.0,386.0,65.0,91.0,1.0,11.0,2.0,1.0,133.0,196.0,49.0,220.0,68.0,81.0,95.0,310.0,133.0,602.0,91.0,116.0,18.0,79.0,4.0,130.0,1.0,1.0,14.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,2.0,1.0,6.0,7.0,9.0,39.0,60.0,119.0,50.0,431.0
CHRNA3,0.0,7.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,,0.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,6.0,,,,21.0,46.0,,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,6.0,,,0.0,,,,0.0
LDAF1,17.0,21.0,10.0,105.0,413.0,1123.0,13.0,117.0,47.0,37.0,28.0,13.0,96.0,6.0,1.0,1.0,26.0,27.0,44.0,86.0,35.0,1.0,0.0,1.0,1.0,21.0,272.0,132.0,194.0,1.0,36.0,8.0,12.0,77.0,140.0,104.0,119.0,0.0,16.0,0.0,17.0,0.0,11.0,0.0,6.0,38.0,589.0,96.0,312.0,5.0,13.0,2.0,1.0,61.0,97.0,36.0,55.0,130.0,231.0,105.0,461.0,44.0,70.0,80.0,137.0,0.0,32.0,43.0,708.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,6.0,30.0,19.0,28.0,33.0,107.0
AZIN2,0.0,0.0,0.0,0.0,6.0,95.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,8.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,0.0,0.0,4.0,2.0,2.0
C1orf210,67.0,110.0,162.0,804.0,3327.0,5121.0,108.0,485.0,145.0,509.0,274.0,338.0,273.0,16.0,45.0,26.0,31.0,394.0,116.0,794.0,201.0,14.0,17.0,20.0,13.0,191.0,960.0,248.0,374.0,7.0,144.0,66.0,282.0,926.0,1300.0,578.0,681.0,40.0,64.0,25.0,142.0,30.0,42.0,12.0,41.0,275.0,934.0,355.0,1027.0,15.0,34.0,6.0,9.0,554.0,1443.0,242.0,501.0,768.0,1153.0,526.0,2636.0,792.0,1014.0,265.0,367.0,85.0,309.0,94.0,452.0,5.0,334.0,10.0,27.0,10.0,15.0,2.0,4.0,64.0,21.0,163.0,180.0,33.0,6.0,100.0,324.0,86.0,230.0,135.0,872.0
MRAP2,,0.0,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,
APOM,1.0,0.0,1.0,38.0,129.0,2.0,9.0,16.0,8.0,0.0,0.0,0.0,6.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,41.0,10.0,11.0,16.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,2.0,44.0,0.0,52.0,1.0,0.0,0.0,1.0,6.0,21.0,123.0,100.0,5.0,34.0,3.0,16.0,2.0,2.0,20.0,104.0,16.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,6.0,56.0
