Gene,ABE-MEM 1h,ABE-MEM 3h A,ABE-MEM 3h B,ABE-NES 1h,ABE-NES 3h A,ABE-NES 3h B,ABE-NLS 1h,ABE-NLS 3h A,ABE-NLS 3h B,ABE-ACT 1h A,ABE-ACT 1h B,ABE-ACT 3h A,ABE-ACT 3h B,ABE-NM 1h A,ABE-NM 1h B,ABE-NM 3h A,ABE-NM 3h B,ABE-LD 1h A,ABE-LD 1h B,ABE-LD 3h A,ABE-LD 3h B,ABE-GOL 1h A,ABE-GOL 1h B,ABE-GOL 3h A,ABE-GOL 3h B,ABE-ERM 1h A,ABE-ERM 1h B,ABE-ERM 3h A,ABE-ERM 3h B,ABE-LAMP1 1h A,ABE-LAMP1 1h B,ABE-LAMP1 3h A,ABE-LAMP1 3h B,ABE-LC3 1h A,ABE-LC3 1h B,ABE-LC3 3h A,ABE-LC3 3h B,ABE-NOLS 1h A,ABE-NOLS 1h B,ABE-NOLS 3h A,ABE-NOLS 3h B,ABE-NUP 1h A,ABE-NUP 1h B,ABE-NUP 3h A,ABE-NUP 3h B,ABE-OMM 1h A,ABE-OMM 1h B,ABE-OMM 3h A,ABE-OMM 3h B,ABE-PLIN2 1h A,ABE-PLIN2 1h B,ABE-PLIN2 3h A,ABE-PLIN2 3h B,ABE-PTS1 1h A,ABE-PTS1 1h B,ABE-PTS1 3h A,ABE-PTS1 3h B,ABE-RAB10 1h A,ABE-RAB10 1h B,ABE-RAB10 3h A,ABE-RAB10 3h B,ABE-RABIF 1h A,ABE-RABIF 1h B,ABE-RABIF 3h A,ABE-RABIF 3h B,ABE-SQSTM1 1h A,ABE-SQSTM1 1h B,ABE-SQSTM1 3h A,ABE-SQSTM1 3h B,ABE-HSPA8-CH 1h A,ABE-HSPA8-CH 1h B,ABE-HSPA8-CH 3h A,ABE-HSPA8-CH 3h B,ABE-HSPA8-NC 1h A,ABE-HSPA8-NC 1h B,ABE-HSPA8-NC 3h A,ABE-HSPA8-NC 3h B,ABE-LAMP2A 1h A,ABE-LAMP2A 1h B,ABE-LAMP2A 3h A,ABE-LAMP2A 3h B,ABE-LMNA 1h A,ABE-LMNA 1h B,ABE-LMNA 3h A,ABE-LMNA 3h B,ABE-TDP208 1h A,ABE-TDP208 1h B,ABE-TDP208 3h A,ABE-TDP208 3h B
ZNF550,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,1.0,36.0,18.0,1.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,9.0,,3.0
TMEM9,1.0,9.0,10.0,65.0,129.0,164.0,1.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,64.0,8.0,21.0,0.0,0.0,0.0,0.0,1.0,15.0,16.0,25.0,17.0,30.0,0.0,0.0,14.0,16.0,1.0,5.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,4.0,22.0
KDELR1,0.0,7.0,2.0,124.0,112.0,16.0,1.0,18.0,0.0,8.0,7.0,6.0,14.0,1.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,8.0,4.0,0.0,0.0,1.0,0.0,80.0,21.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,152.0,0.0,30.0,0.0,0.0,0.0,0.0,76.0,183.0,78.0,39.0,0.0,23.0,5.0,29.0,14.0,22.0,37.0,47.0,1.0,1.0,19.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,9.0
NDUFB11,0.0,0.0,0.0,4.0,123.0,32.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,2.0,0.0,36.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,30.0,52.0,89.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,7.0,0.0,6.0,2.0,8.0,0.0,6.0,5.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
CAV2,0.0,22.0,28.0,255.0,700.0,550.0,13.0,148.0,39.0,117.0,115.0,37.0,104.0,15.0,11.0,14.0,53.0,38.0,4.0,24.0,15.0,1.0,9.0,7.0,2.0,62.0,124.0,75.0,77.0,1.0,48.0,1.0,54.0,144.0,152.0,415.0,291.0,265.0,51.0,1.0,20.0,12.0,14.0,0.0,3.0,28.0,62.0,92.0,154.0,0.0,0.0,0.0,49.0,241.0,459.0,320.0,200.0,202.0,243.0,213.0,724.0,97.0,184.0,73.0,58.0,22.0,185.0,1.0,65.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,9.0,1.0,0.0,19.0,7.0,36.0,32.0,33.0,13.0,37.0,297.0
ING5,5.0,0.0,7.0,139.0,347.0,325.0,11.0,31.0,52.0,189.0,56.0,170.0,10.0,1.0,0.0,2.0,14.0,5.0,8.0,2.0,6.0,1.0,0.0,2.0,2.0,7.0,68.0,64.0,73.0,0.0,0.0,1.0,12.0,40.0,56.0,158.0,142.0,12.0,9.0,3.0,39.0,1.0,0.0,0.0,4.0,18.0,41.0,15.0,117.0,0.0,0.0,0.0,0.0,203.0,169.0,73.0,55.0,137.0,183.0,11.0,26.0,42.0,57.0,167.0,281.0,0.0,36.0,27.0,401.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,16.0,22.0,17.0,51.0,15.0,161.0
MOCS1,4.0,0.0,1.0,61.0,202.0,44.0,0.0,0.0,1.0,0.0,6.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,21.0,0.0,18.0,0.0,0.0,13.0,34.0,0.0,30.0,1.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,39.0,22.0,52.0,0.0,0.0,1.0,1.0,433.0,964.0,19.0,8.0,8.0,22.0,7.0,180.0,1.0,48.0,17.0,52.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,18.0,12.0,8.0,75.0
BIK,0.0,0.0,3.0,242.0,403.0,341.0,3.0,51.0,1.0,58.0,9.0,30.0,26.0,0.0,8.0,0.0,10.0,1.0,1.0,38.0,2.0,2.0,1.0,2.0,6.0,6.0,35.0,12.0,57.0,0.0,0.0,15.0,50.0,99.0,86.0,1.0,103.0,25.0,10.0,0.0,0.0,2.0,0.0,2.0,1.0,22.0,103.0,12.0,50.0,0.0,1.0,1.0,3.0,49.0,80.0,117.0,72.0,40.0,36.0,59.0,69.0,370.0,618.0,29.0,59.0,0.0,2.0,0.0,25.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,11.0,10.0,4.0,27.0
CD3D,0.0,11.0,21.0,445.0,1284.0,1256.0,52.0,185.0,57.0,126.0,43.0,85.0,83.0,2.0,19.0,7.0,11.0,96.0,13.0,77.0,18.0,2.0,4.0,9.0,9.0,79.0,74.0,145.0,125.0,1.0,1.0,10.0,14.0,320.0,207.0,459.0,307.0,22.0,27.0,9.0,50.0,3.0,13.0,1.0,21.0,75.0,278.0,54.0,174.0,0.0,1.0,5.0,1.0,109.0,271.0,206.0,194.0,66.0,133.0,83.0,168.0,58.0,155.0,96.0,108.0,0.0,38.0,55.0,455.0,5.0,5.0,4.0,0.0,4.0,1.0,14.0,5.0,4.0,8.0,2.0,8.0,6.0,7.0,18.0,119.0,17.0,105.0,38.0,733.0
LHFPL6,19.0,18.0,4.0,89.0,499.0,115.0,7.0,26.0,53.0,57.0,31.0,48.0,26.0,0.0,2.0,12.0,3.0,80.0,51.0,112.0,67.0,1.0,7.0,1.0,0.0,70.0,113.0,103.0,89.0,2.0,28.0,18.0,71.0,314.0,525.0,130.0,94.0,45.0,11.0,0.0,10.0,4.0,47.0,2.0,15.0,23.0,59.0,89.0,205.0,1.0,2.0,1.0,0.0,27.0,116.0,38.0,60.0,92.0,223.0,493.0,686.0,18.0,144.0,21.0,21.0,0.0,13.0,0.0,108.0,4.0,4.0,11.0,1.0,2.0,0.0,0.0,1.0,7.0,1.0,6.0,3.0,2.0,3.0,7.0,21.0,4.0,16.0,4.0,159.0
TMEM87A,9.0,5.0,10.0,106.0,172.0,48.0,11.0,23.0,17.0,22.0,17.0,16.0,4.0,3.0,0.0,2.0,17.0,44.0,132.0,17.0,80.0,1.0,0.0,0.0,1.0,0.0,47.0,20.0,11.0,0.0,1.0,0.0,31.0,58.0,114.0,29.0,79.0,0.0,1.0,3.0,7.0,2.0,2.0,0.0,0.0,9.0,104.0,20.0,44.0,0.0,0.0,0.0,1.0,15.0,49.0,12.0,29.0,15.0,53.0,31.0,58.0,52.0,80.0,29.0,16.0,14.0,60.0,18.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,42.0,7.0,6.0,7.0,35.0
RPL23,2.0,1.0,24.0,234.0,450.0,477.0,2.0,55.0,55.0,31.0,8.0,47.0,16.0,0.0,7.0,6.0,6.0,3.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,29.0,41.0,20.0,50.0,3.0,1.0,7.0,0.0,162.0,143.0,135.0,44.0,25.0,18.0,1.0,52.0,0.0,3.0,3.0,9.0,15.0,52.0,23.0,45.0,1.0,18.0,0.0,1.0,53.0,194.0,83.0,90.0,61.0,33.0,16.0,49.0,69.0,162.0,16.0,52.0,10.0,39.0,0.0,220.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,8.0,45.0,15.0,124.0
HYI,1.0,1.0,24.0,141.0,422.0,642.0,14.0,55.0,88.0,57.0,28.0,80.0,14.0,5.0,10.0,1.0,29.0,0.0,2.0,6.0,3.0,2.0,0.0,0.0,4.0,23.0,30.0,83.0,132.0,0.0,0.0,0.0,10.0,258.0,197.0,162.0,286.0,2.0,49.0,46.0,137.0,1.0,0.0,1.0,6.0,86.0,368.0,49.0,88.0,6.0,1.0,3.0,1.0,148.0,291.0,131.0,120.0,2.0,36.0,40.0,94.0,325.0,258.0,70.0,197.0,0.0,61.0,0.0,86.0,2.0,1.0,6.0,5.0,1.0,1.0,0.0,11.0,11.0,3.0,34.0,1.0,25.0,2.0,15.0,1.0,43.0,61.0,87.0,382.0
MTFP1,1.0,2.0,5.0,188.0,480.0,479.0,2.0,18.0,15.0,34.0,9.0,5.0,4.0,0.0,3.0,0.0,3.0,2.0,3.0,19.0,2.0,1.0,2.0,1.0,0.0,0.0,17.0,15.0,3.0,1.0,1.0,0.0,0.0,7.0,23.0,73.0,50.0,29.0,66.0,1.0,0.0,2.0,1.0,1.0,8.0,64.0,54.0,26.0,92.0,0.0,1.0,3.0,0.0,52.0,36.0,43.0,13.0,7.0,13.0,7.0,108.0,23.0,68.0,15.0,50.0,0.0,35.0,10.0,0.0,25.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,21.0,14.0,157.0
PLAAT4,0.0,9.0,33.0,44.0,445.0,92.0,63.0,28.0,14.0,27.0,7.0,39.0,18.0,6.0,33.0,4.0,53.0,89.0,46.0,262.0,111.0,0.0,1.0,0.0,1.0,0.0,90.0,42.0,28.0,0.0,1.0,0.0,6.0,70.0,95.0,567.0,153.0,0.0,6.0,4.0,23.0,1.0,1.0,0.0,1.0,22.0,131.0,23.0,255.0,0.0,0.0,1.0,0.0,73.0,299.0,48.0,71.0,12.0,36.0,43.0,75.0,46.0,82.0,70.0,79.0,1.0,27.0,1.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,12.0,35.0,72.0,28.0,267.0
UTY,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,23.0,1.0,24.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,28.0,4.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,0.0
MRAP,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
IL20RB,3.0,28.0,18.0,1049.0,2672.0,2390.0,31.0,286.0,234.0,439.0,108.0,277.0,185.0,20.0,19.0,65.0,56.0,112.0,8.0,248.0,29.0,19.0,5.0,41.0,16.0,68.0,334.0,104.0,119.0,2.0,20.0,35.0,57.0,536.0,538.0,703.0,696.0,63.0,84.0,20.0,181.0,9.0,19.0,5.0,17.0,131.0,450.0,347.0,723.0,6.0,36.0,6.0,23.0,176.0,600.0,296.0,489.0,328.0,172.0,84.0,200.0,216.0,502.0,364.0,371.0,51.0,361.0,69.0,293.0,14.0,21.0,4.0,14.0,3.0,2.0,19.0,1.0,4.0,4.0,10.0,4.0,14.0,10.0,8.0,88.0,94.0,325.0,102.0,799.0
MRPL28,4.0,3.0,2.0,486.0,1011.0,772.0,45.0,111.0,142.0,317.0,119.0,169.0,74.0,1.0,7.0,23.0,22.0,8.0,44.0,24.0,49.0,3.0,2.0,1.0,3.0,106.0,307.0,115.0,224.0,1.0,1.0,4.0,1.0,145.0,179.0,267.0,267.0,44.0,70.0,2.0,65.0,10.0,2.0,11.0,2.0,40.0,326.0,152.0,273.0,0.0,18.0,23.0,1.0,118.0,130.0,116.0,259.0,132.0,106.0,83.0,236.0,264.0,151.0,58.0,77.0,0.0,59.0,70.0,84.0,3.0,4.0,12.0,51.0,1.0,10.0,2.0,2.0,4.0,12.0,23.0,22.0,1.0,4.0,28.0,27.0,60.0,76.0,65.0,593.0
DLK2,10.0,5.0,36.0,327.0,1030.0,953.0,29.0,176.0,22.0,186.0,79.0,76.0,92.0,1.0,6.0,27.0,15.0,21.0,27.0,63.0,35.0,4.0,1.0,3.0,0.0,94.0,141.0,48.0,88.0,12.0,0.0,3.0,34.0,132.0,98.0,174.0,135.0,29.0,3.0,3.0,79.0,11.0,12.0,4.0,36.0,96.0,465.0,141.0,450.0,1.0,2.0,3.0,2.0,208.0,477.0,77.0,147.0,61.0,28.0,50.0,352.0,108.0,151.0,31.0,69.0,67.0,56.0,68.0,58.0,4.0,28.0,2.0,5.0,10.0,4.0,0.0,1.0,5.0,4.0,4.0,6.0,3.0,2.0,8.0,20.0,14.0,112.0,25.0,422.0
H4C3,9.0,6.0,18.0,409.0,1392.0,1509.0,158.0,733.0,336.0,1277.0,57.0,188.0,88.0,5.0,8.0,17.0,1.0,70.0,2.0,63.0,40.0,0.0,1.0,6.0,0.0,6.0,149.0,71.0,78.0,0.0,3.0,3.0,13.0,224.0,235.0,210.0,183.0,42.0,54.0,36.0,62.0,5.0,14.0,9.0,7.0,95.0,351.0,91.0,185.0,1.0,9.0,2.0,6.0,95.0,247.0,144.0,245.0,113.0,52.0,25.0,118.0,436.0,616.0,146.0,161.0,34.0,104.0,18.0,260.0,3.0,2.0,6.0,1.0,2.0,1.0,3.0,2.0,1.0,73.0,2.0,10.0,10.0,7.0,5.0,83.0,26.0,114.0,61.0,601.0
DNAJC15,0.0,3.0,0.0,47.0,278.0,138.0,2.0,37.0,2.0,0.0,9.0,26.0,22.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,2.0,10.0,0.0,0.0,0.0,0.0,23.0,21.0,130.0,76.0,0.0,16.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,1.0,44.0,1.0,0.0,10.0,41.0,21.0,11.0,0.0,0.0,1.0,56.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,10.0,4.0,22.0
NUP62,1.0,0.0,0.0,15.0,86.0,51.0,0.0,29.0,6.0,21.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,18.0,0.0,0.0,28.0,19.0,0.0,15.0,0.0,0.0,1.0,0.0,19.0,17.0,33.0,113.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,5.0,0.0,2.0,0.0,0.0,21.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,3.0,18.0
C14orf132,0.0,0.0,1.0,46.0,111.0,107.0,0.0,36.0,1.0,20.0,16.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,17.0,31.0,21.0,6.0,0.0,4.0,1.0,24.0,34.0,37.0,27.0,16.0,53.0,2.0,21.0,0.0,0.0,0.0,1.0,32.0,40.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,9.0,0.0,7.0,0.0,17.0,5.0,61.0,16.0,9.0,0.0,11.0,0.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,22.0
TMEM252,0.0,0.0,0.0,90.0,162.0,115.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,53.0,1.0,6.0,0.0,52.0,1.0,0.0,2.0,1.0,0.0,29.0,184.0,24.0,31.0,3.0,2.0,0.0,0.0,6.0,41.0,18.0,21.0,0.0,0.0,13.0,30.0,18.0,4.0,1.0,2.0,5.0,0.0,19.0,44.0,0.0,0.0,0.0,0.0,19.0,15.0,147.0,261.0,33.0,42.0,5.0,17.0,14.0,15.0,16.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,8.0,13.0
TMEM135,6.0,13.0,2.0,324.0,1211.0,692.0,35.0,83.0,85.0,69.0,104.0,83.0,78.0,31.0,1.0,90.0,7.0,24.0,8.0,24.0,1.0,4.0,3.0,1.0,3.0,44.0,271.0,15.0,77.0,0.0,1.0,8.0,12.0,154.0,276.0,263.0,196.0,34.0,39.0,4.0,130.0,10.0,12.0,4.0,3.0,32.0,90.0,86.0,648.0,1.0,2.0,1.0,1.0,148.0,559.0,111.0,153.0,37.0,101.0,61.0,278.0,268.0,603.0,86.0,207.0,71.0,323.0,24.0,73.0,4.0,15.0,12.0,8.0,1.0,0.0,6.0,0.0,2.0,3.0,1.0,2.0,5.0,5.0,27.0,125.0,15.0,210.0,55.0,731.0
MRPL27,1.0,6.0,4.0,209.0,299.0,540.0,34.0,160.0,18.0,65.0,10.0,22.0,16.0,4.0,3.0,25.0,14.0,1.0,6.0,2.0,4.0,4.0,2.0,0.0,1.0,21.0,54.0,22.0,4.0,0.0,0.0,1.0,6.0,103.0,234.0,78.0,96.0,31.0,103.0,0.0,21.0,1.0,0.0,0.0,21.0,71.0,424.0,57.0,89.0,6.0,38.0,2.0,0.0,90.0,272.0,57.0,84.0,54.0,34.0,70.0,260.0,47.0,75.0,27.0,66.0,9.0,0.0,24.0,37.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,8.0,1.0,0.0,3.0,7.0,15.0,39.0,11.0,83.0
PDPN,0.0,0.0,1.0,22.0,88.0,0.0,1.0,0.0,92.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,42.0,23.0,39.0,0.0,4.0,9.0,40.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,17.0,0.0,20.0,0.0,11.0,5.0,6.0,0.0,3.0,0.0,60.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,14.0,9.0
MFAP5,0.0,10.0,1.0,147.0,300.0,267.0,1.0,19.0,7.0,9.0,1.0,26.0,44.0,6.0,0.0,0.0,27.0,3.0,158.0,5.0,528.0,0.0,0.0,1.0,0.0,8.0,22.0,4.0,31.0,0.0,0.0,1.0,7.0,99.0,108.0,48.0,52.0,0.0,1.0,2.0,52.0,3.0,0.0,1.0,1.0,14.0,48.0,10.0,70.0,0.0,1.0,1.0,0.0,63.0,76.0,70.0,81.0,58.0,70.0,11.0,58.0,13.0,42.0,0.0,26.0,1.0,1.0,0.0,148.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,21.0,4.0,0.0,14.0,117.0
HLA-DPB2,0.0,2.0,0.0,5.0,63.0,74.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,34.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,8.0,41.0,0.0,1.0,0.0,17.0,37.0,72.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,99.0
CLMP,1.0,11.0,10.0,16.0,89.0,52.0,0.0,0.0,93.0,41.0,1.0,11.0,7.0,0.0,0.0,0.0,10.0,10.0,10.0,13.0,16.0,0.0,1.0,0.0,0.0,0.0,44.0,27.0,86.0,0.0,0.0,0.0,4.0,0.0,6.0,27.0,42.0,0.0,13.0,0.0,19.0,1.0,4.0,0.0,61.0,8.0,11.0,21.0,81.0,0.0,0.0,0.0,0.0,23.0,18.0,22.0,17.0,47.0,21.0,38.0,99.0,12.0,46.0,109.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,4.0,2.0,21.0
CLDN7,77.0,79.0,201.0,487.0,1030.0,813.0,23.0,106.0,12.0,566.0,89.0,589.0,70.0,3.0,26.0,34.0,34.0,1305.0,188.0,2809.0,441.0,4.0,6.0,0.0,7.0,312.0,1392.0,470.0,1269.0,21.0,43.0,45.0,260.0,273.0,519.0,573.0,611.0,95.0,179.0,8.0,99.0,39.0,58.0,48.0,178.0,154.0,617.0,292.0,794.0,2.0,1.0,4.0,5.0,184.0,398.0,139.0,218.0,407.0,387.0,372.0,967.0,92.0,239.0,122.0,213.0,22.0,64.0,62.0,15.0,15.0,11.0,5.0,20.0,14.0,2.0,4.0,15.0,4.0,26.0,29.0,18.0,7.0,12.0,23.0,52.0,72.0,43.0,39.0,165.0
SDHC,0.0,0.0,0.0,75.0,457.0,273.0,16.0,14.0,173.0,27.0,4.0,1.0,7.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,11.0,27.0,26.0,132.0,0.0,0.0,0.0,2.0,57.0,80.0,72.0,84.0,0.0,8.0,6.0,53.0,3.0,6.0,0.0,12.0,8.0,60.0,93.0,183.0,0.0,1.0,0.0,2.0,97.0,117.0,21.0,71.0,16.0,43.0,63.0,212.0,69.0,93.0,48.0,52.0,0.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,13.0,3.0,10.0,0.0,1.0,8.0,12.0,21.0,12.0,106.0
ZBTB32,29.0,88.0,227.0,2271.0,4920.0,4404.0,159.0,640.0,317.0,543.0,319.0,509.0,431.0,70.0,114.0,125.0,157.0,45.0,278.0,70.0,39.0,7.0,14.0,9.0,7.0,331.0,471.0,325.0,688.0,3.0,25.0,29.0,84.0,1121.0,1263.0,1408.0,1094.0,55.0,193.0,16.0,372.0,24.0,22.0,20.0,60.0,357.0,1053.0,457.0,1203.0,7.0,22.0,28.0,8.0,892.0,2164.0,746.0,1007.0,119.0,124.0,65.0,393.0,948.0,1341.0,642.0,688.0,41.0,273.0,82.0,294.0,18.0,34.0,24.0,21.0,5.0,5.0,14.0,23.0,12.0,15.0,7.0,17.0,52.0,28.0,55.0,188.0,247.0,603.0,303.0,1709.0
PPP2R3B,0.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
